symbol,buy_date,sell_date,hold_days,entry_price,exit_price,qty,pnl_usd,pct_gain,exit_type
NOW,2026-01-23,2026-01-28,5,133.09,129.61,47,-163.56,-2.61,stop_loss
NOW,2026-03-05,2026-03-10,4,120.43,116.58,49,-188.65,-3.2,stop_loss
NOW,2026-03-16,2026-03-19,3,114.92,113.25,56,-93.52,-1.45,sell
NOW,2026-04-09,2026-04-10,1,89.77,82.98,71,-482.09,-7.56,stop_loss
NOW,2026-04-21,2026-04-23,2,100.17,84.94,63,-959.49,-15.2,stop_loss
NOW,2026-04-27,2026-04-30,3,90.45,88.31,71,-152.29,-2.37,stop_loss
NOW,2026-05-05,2026-05-06,1,92.01,89.05,71,-210.16,-3.22,stop_loss
NOW,2026-05-14,2026-05-18,4,90.53,103.38,72,924.84,14.19,take_profit
NVDA,2026-01-13,2026-01-20,7,185.79,178.15,34,-259.76,-4.11,stop_loss
NVDA,2026-02-02,2026-02-03,1,185.66,180.28,33,-177.54,-2.9,stop_loss
NVDA,2026-02-03,2026-02-04,1,180.28,174.19,38,-231.23,-3.38,stop_loss
NVDA,2026-02-04,2026-02-06,2,174.19,185.21,44,484.66,6.32,take_profit
NVDA,2026-02-27,2026-03-20,20,177.21,172.91,38,-163.4,-2.43,stop_loss
NVDA,2026-03-20,2026-03-27,7,172.91,167.43,46,-251.85,-3.17,stop_loss
NVDA,2026-03-30,2026-04-01,2,165.18,175.81,41,435.83,6.44,take_profit
NVDA,2026-04-15,2026-04-27,12,198.85,216.54,30,530.7,8.9,take_profit
NVDA,2026-05-04,2026-05-07,3,198.56,211.56,32,416.0,6.55,take_profit
NVDA,2026-05-27,2026-05-29,2,212.57,211.16,30,-42.6,-0.67,close_eob
PLTR,2026-01-09,2026-01-15,6,177.45,176.96,34,-16.66,-0.28,sell
PLTR,2026-01-16,2026-01-21,5,170.99,165.37,43,-241.66,-3.29,stop_loss
PLTR,2026-01-21,2026-01-27,6,165.37,165.7,36,11.88,0.2,sell
PLTR,2026-01-28,2026-01-29,1,157.37,151.9,42,-229.53,-3.47,stop_loss
PLTR,2026-01-29,2026-01-30,1,151.9,146.62,41,-216.48,-3.48,stop_loss
PLTR,2026-02-03,2026-02-04,1,157.89,139.49,40,-736.2,-11.66,stop_loss
PLTR,2026-02-04,2026-02-05,1,139.49,130.05,46,-434.01,-6.76,stop_loss
PLTR,2026-02-06,2026-02-12,6,135.85,129.17,47,-313.96,-4.92,stop_loss
PLTR,2026-02-17,2026-02-24,7,133.07,128.81,44,-187.44,-3.2,stop_loss
PLTR,2026-02-26,2026-03-02,4,135.95,145.12,42,385.14,6.75,take_profit
PLTR,2026-03-04,2026-03-26,21,153.11,147.58,39,-215.67,-3.61,stop_loss
PLTR,2026-03-26,2026-03-27,1,147.58,143.08,42,-189.0,-3.05,stop_loss
PLTR,2026-04-02,2026-04-08,6,148.44,140.76,39,-299.52,-5.17,stop_loss
PLTR,2026-04-08,2026-04-09,1,140.76,130.48,42,-431.76,-7.3,stop_loss
PLTR,2026-04-14,2026-04-17,3,135.68,146.38,45,481.27,7.88,take_profit
PLTR,2026-04-17,2026-04-23,6,146.38,141.62,44,-209.22,-3.25,stop_loss
PLTR,2026-04-23,2026-04-29,6,141.62,137.97,46,-167.9,-2.58,stop_loss
PLTR,2026-05-01,2026-05-05,4,144.06,135.99,43,-347.01,-5.6,stop_loss
PLTR,2026-05-08,2026-05-13,5,137.79,130.07,45,-347.4,-5.6,stop_loss
PLTR,2026-05-14,2026-05-26,12,133.73,136.57,48,136.32,2.12,sell
QCOM,2026-01-22,2026-01-26,4,157.77,154.53,42,-136.29,-2.06,stop_loss
QCOM,2026-02-09,2026-03-06,25,138.91,135.66,46,-149.73,-2.34,stop_loss
QCOM,2026-03-09,2026-03-10,1,138.15,135.22,44,-129.14,-2.12,stop_loss
QCOM,2026-04-13,2026-04-17,4,131.26,136.18,48,236.16,3.75,sell
QCOM,2026-04-30,2026-05-04,4,179.64,168.34,37,-418.1,-6.29,stop_loss
QCOM,2026-05-06,2026-05-08,2,192.66,219.19,33,875.65,13.77,take_profit
QCOM,2026-05-08,2026-05-11,3,219.19,237.56,29,532.59,8.38,take_profit
QCOM,2026-05-11,2026-05-12,1,237.56,210.36,28,-761.6,-11.45,stop_loss
QCOM,2026-05-12,2026-05-14,2,210.36,199.99,36,-373.32,-4.93,stop_loss
QCOM,2026-05-18,2026-05-19,1,203.79,195.76,31,-248.93,-3.94,stop_loss
QCOM,2026-05-19,2026-05-21,2,195.76,213.4,32,564.48,9.01,take_profit
QCOM,2026-05-22,2026-05-27,5,238.23,233.44,27,-129.33,-2.01,stop_loss
QCOM,2026-05-27,2026-05-29,2,233.44,251.17,28,496.44,7.6,take_profit
QCOM,2026-05-29,2026-05-29,0,251.17,251.17,27,0.0,0.0,close_eob
